创建时间,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,进口0出口1,数据类型,整体处理效率,企业名称,设备名称,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,风量,处理效率
2025-07-24 16:27:27,0.0,4.0384009806571015,75.76724591344843,76.11523576311555,0,进口浓度,1.7,连微,抽气式东星行测试,,35.21875261686293,59.10994504717406,1.4531178198749817,100.2,100.6,-0.4,0.0,0.0,12072.973025505346,
2025-07-24 16:27:57,0.1054571893110913,2.125908337966883,0.0,67.55760704292786,1,出口浓度,1.7,连微,抽气式东星行测试,,32.816092054253595,58.63996157692382,1.1632450535920136,100.2,100.6,-0.4,0.0,0.0,12718.362885112438,88.35499387011367
2025-07-24 16:30:36,0.0,0.5990469110817678,77.6691917899068,74.18790763106038,0,进口浓度,1.7,连微,抽气式东星行测试,,33.536599334006425,58.69226466498381,1.3164836733238383,100.2,100.6,-0.4,0.0,0.0,12865.307501720716,
2025-07-24 16:30:43,0.0987878288553612,1.4528902632515868,0.0,69.05258156750766,1,出口浓度,1.7,连微,抽气式东星行测试,,33.25085968344909,59.57872825083177,1.1461157496210064,100.2,100.6,-0.4,0.0,0.0,12514.724839231483,82.46899270994135
2025-07-24 16:34:43,0.0,0.3045054937048861,77.81759656880604,80.73811562205373,0,进口浓度,1.7,连微,抽气式东星行测试,,34.021777852095084,60.800119783314855,0.8100123396800842,100.2,100.6,-0.4,0.0,0.0,12352.895088856356,
2025-07-24 16:36:04,0.0,2.191377114940188,74.56373651970006,80.10918234504337,0,进口浓度,1.7,连微,抽气式东星行测试,,34.61704014755847,57.82352112020917,0.845022486275983,100.2,100.6,-0.4,0.0,0.0,12847.172365393468,
2025-07-24 16:37:59,1.7502654370214867,4.783009723955974,0.0,71.44971797496038,1,出口浓度,1.7,连微,抽气式东星行测试,,35.05542705664796,57.195624115105375,1.1925318125027078,100.2,100.6,-0.4,0.0,0.0,12570.28164388103,74.86638254719298
2025-07-24 16:40:04,3.5313696717105345,-0.0705341630985318,0.0,67.87767742718138,1,出口浓度,1.7,连微,抽气式东星行测试,,35.05761645882896,56.67832406574389,1.4949445734707614,100.2,100.6,-0.4,0.0,0.0,12680.39864011886,72.97027549308974
2025-07-24 16:40:17,0.0,1.7874151517539103,101.10826801206191,79.23475986517082,0,进口浓度,1.7,连微,抽气式东星行测试,,33.35634119981026,60.63369140173225,0.9060332325967256,100.2,100.6,-0.4,0.0,0.0,12199.05788155245,
2025-07-24 16:42:47,0.0,2.2121119151220574,82.69419299399692,71.7388211060321,0,进口浓度,1.7,连微,抽气式东星行测试,,32.54814549427008,56.998244232116605,0.8481875508720191,100.2,100.6,-0.4,0.0,0.0,12456.988559282874,
2025-07-24 16:43:50,4.137188110955788,2.5813097313279405,0.0,65.05704252339453,1,出口浓度,1.7,连微,抽气式东星行测试,,34.452272484258714,55.97501227526163,1.2166443023082352,100.2,100.6,-0.4,0.0,0.0,12739.319360573603,77.48085856320796
2025-07-24 16:45:58,0.0,3.524957844668985,81.30592710703439,76.60918588012012,0,进口浓度,1.7,连微,抽气式东星行测试,,34.83495922574175,56.79874338842448,1.0689428635554037,100.2,100.6,-0.4,0.0,0.0,12368.357809865767,
2025-07-24 18:11:22,0.0,3.941366779793326,86.5919084781556,80.10444384635409,0,进口浓度,1.7,连微,抽气式东星行测试,,32.591102833201326,59.08436137030407,0.9565302380290228,100.2,100.6,-0.4,0.0,0.0,12948.205170784302,
2025-07-24 18:13:10,0.1063501120994658,1.0088507075522646,0.0,65.19043315448609,1,出口浓度,1.7,连微,抽气式东星行测试,,32.60572503247738,59.14300156551116,1.022331041332638,100.2,100.6,-0.4,0.0,0.0,12774.97230180709,93.01302374743028
2025-07-24 18:14:32,10.71318540327338,5.310250130124677,0.0,61.167853995583314,1,出口浓度,1.7,连微,抽气式东星行测试,,32.55232994314084,56.244050229827465,0.913117491302046,100.2,100.6,-0.4,0.0,0.0,12662.22679971435,83.13692878500089
2025-07-24 18:15:06,0.0,2.155153253218279,83.29879967708898,80.81401420601155,0,进口浓度,1.7,连微,抽气式东星行测试,,33.369308070727385,57.12572193186888,0.9961053232238164,100.2,100.6,-0.4,0.0,0.0,12720.924561327292,
2025-07-24 18:22:28,0.0,2.618440107403068,82.18106310641868,73.76555054531785,0,进口浓度,1.7,连微,抽气式东星行测试,,34.81995303896079,56.90224447011069,1.378702847130956,100.2,100.6,-0.4,0.0,0.0,12933.7003747708,
2025-07-24 18:23:48,0.0,2.5562537048106604,90.356617909127,72.9115136540986,0,进口浓度,1.7,连微,抽气式东星行测试,,34.706488983130185,57.27816511224629,1.3246256220083945,100.2,100.6,-0.4,0.0,0.0,12818.377460130563,
2025-07-24 18:25:52,11.158690058331633,5.7229215062520105,0.0,64.81859585123937,1,出口浓度,1.7,连微,抽气式东星行测试,,33.15052136645656,59.28484772499037,1.4497297440544303,100.2,100.6,-0.4,0.0,0.0,12442.376111864836,76.41109938683705
2025-07-24 18:29:49,0.0,4.141759417361384,75.87309181893849,77.00318749409944,0,进口浓度,1.7,连微,抽气式东星行测试,,34.55177829363455,55.31494664103678,1.2501288105350488,100.2,100.6,-0.4,0.0,0.0,12717.358056250245,
2025-07-24 18:31:21,0.0,4.545487790182085,71.23454484494245,71.74458706084275,0,进口浓度,1.7,连微,抽气式东星行测试,,34.20141026311847,60.574598081019865,1.3623233152733434,100.2,100.6,-0.4,0.0,0.0,12935.032098596152,
2025-07-24 18:31:46,9.364916727299846,3.759917625157968,0.0,63.36264901403403,1,出口浓度,1.7,连微,抽气式东星行测试,,35.85565615556374,56.927006212715,1.285889084248528,100.2,100.6,-0.4,0.0,0.0,12907.936958735623,72.23651801278791
2025-07-24 19:45:58,0.0,3.201282057994434,91.35278058442093,78.26199751469952,0,进口浓度,1.8,连微,抽气式东星行测试,,35.50697267167169,55.0556030108806,1.1391269872916667,100.2,100.6,-0.4,0.0,0.0,12107.300690773538,
2025-07-24 19:46:23,9.750290077936247,0.2292210189689747,0.0,73.60479199762854,1,出口浓度,1.8,连微,抽气式东星行测试,,34.1732019342279,57.96347452205092,1.3341013424649688,100.2,100.6,-0.4,0.0,0.0,12851.059738577997,81.70051922515725
2025-07-24 19:52:36,0.0945370106729217,-0.802268329010376,0.0,60.37910867684479,1,出口浓度,1.8,连微,抽气式东星行测试,,33.835657884129446,56.54358928137712,1.4590692380352943,100.2,100.6,-0.4,0.0,0.0,12736.617895492256,89.7691916106314
2025-07-24 19:53:08,0.0,2.381887538691309,84.91542114244123,70.75654967411973,0,进口浓度,1.8,连微,抽气式东星行测试,,35.42458601709383,60.38225657070385,1.229805545241908,100.2,100.6,-0.4,0.0,0.0,12515.280658959797,
2025-07-24 19:59:29,0.0967087318838394,2.5373862253284227,0.0,60.735699692966406,1,出口浓度,1.8,连微,抽气式东星行测试,,32.5624475025372,56.941610020510495,1.4568614712405743,100.2,100.6,-0.4,0.0,0.0,12260.785277065444,75.88803132003835
2025-07-24 20:03:11,0.0,3.1688958282807143,87.36126652848934,72.02105893265123,0,进口浓度,1.8,连微,抽气式东星行测试,,34.89153011360399,55.06861440516501,0.9086011845787594,100.2,100.6,-0.4,0.0,0.0,12692.768590422738,
2025-07-24 20:04:09,0.0,-0.1743440711230455,72.35582123768717,72.06966395577128,0,进口浓度,1.8,连微,抽气式东星行测试,,33.62166645187359,58.01512282743034,1.1283798174618822,100.2,100.6,-0.4,0.0,0.0,12703.557035102256,
2025-07-24 20:07:55,0.0937811165589374,-0.7736544200626452,0.0,72.43728664981913,1,出口浓度,1.8,连微,抽气式东星行测试,,33.18015040062499,58.68775268886309,1.1042874145308423,100.2,100.6,-0.4,0.0,0.0,12133.568782196804,73.82963911722948
2025-07-24 21:38:39,0.0,3.378121041435937,93.730385873428,75.71040839273961,0,进口浓度,1.8,连微,抽气式东星行测试,,34.146640633042225,55.98722293949653,0.819132529308862,100.2,100.6,-0.4,0.0,0.0,12441.84055265963,
2025-07-24 21:41:13,5.260167096408038,3.2888972476201914,0.0,69.7668835609196,1,出口浓度,1.8,连微,抽气式东星行测试,,35.59555740685389,57.672896153123325,1.1679925860463454,100.2,100.6,-0.4,0.0,0.0,12131.9443398211,80.3856143461165
2025-07-24 21:44:12,0.0,1.4613579395912035,77.03769545609723,80.6926893840449,0,进口浓度,1.8,连微,抽气式东星行测试,,34.16465401631962,55.36153378790242,0.9959900392622036,100.2,100.6,-0.4,0.0,0.0,12986.137248082276,
2025-07-24 21:46:00,1.589813219159519,0.7099336918842116,0.0,64.82533732083189,1,出口浓度,1.8,连微,抽气式东星行测试,,32.54171546595775,58.84915000103414,1.4717961156212174,100.2,100.6,-0.4,0.0,0.0,12963.78256693752,79.36152301595669
2025-07-24 21:47:28,0.0,1.5607169311274462,95.9433347937038,82.85999136989041,0,进口浓度,1.8,连微,抽气式东星行测试,,33.5099853985204,55.4814999557762,0.9526419210370828,100.2,100.6,-0.4,0.0,0.0,12874.553721690923,
2025-07-24 21:48:51,0.0,3.207714724985188,76.63430574422561,74.87517227592589,0,进口浓度,1.8,连微,抽气式东星行测试,,35.971387104310345,57.35835179070425,1.0674851838171573,100.2,100.6,-0.4,0.0,0.0,12978.724377026336,
2025-07-25 00:01:13,0.0,2.2354044604977696,86.06077818795355,72.93558804424595,0,进口浓度,1.8,连微,抽气式东星行测试,,34.78250514281993,59.22261149605422,1.3890858856181945,100.2,100.6,-0.4,0.0,0.0,12239.330958963032,
2025-07-25 00:01:15,0.0977490252950411,0.068696859918814,0.0,60.60771855263197,1,出口浓度,1.8,连微,抽气式东星行测试,,34.59488535998045,56.85053370572157,1.276709771027539,100.2,100.6,-0.4,0.0,0.0,12882.81195236204,81.65010167259877
2025-07-25 00:02:24,0.0,2.107735781456192,89.18679088858465,71.40746476958718,0,进口浓度,1.8,连微,抽气式东星行测试,,33.28093313915522,56.21876494753532,1.40001184008268,100.2,100.6,-0.4,0.0,0.0,12045.715447981094,
2025-07-25 00:04:30,0.0,2.183091003575055,91.2034683936672,63.95337408650267,0,进口浓度,1.8,连微,抽气式东星行测试,,34.213246254168695,58.50419139470799,1.062388168244397,100.2,100.6,-0.4,0.0,0.0,12295.192287507738,
2025-07-25 00:06:08,0.1015067211676501,-0.2495465691826819,0.0,62.264343382366846,1,出口浓度,1.8,连微,抽气式东星行测试,,32.982920065501375,58.30385519510245,1.099556070851933,100.2,100.6,-0.4,0.0,0.0,12337.564284036507,89.084015641658
2025-07-25 00:06:35,1.2247043348676412,2.711689353177203,0.0,64.98121662966042,1,出口浓度,1.8,连微,抽气式东星行测试,,33.84331599379282,59.39663342215011,1.296896013809109,100.2,100.6,-0.4,0.0,0.0,12139.958528580615,83.66365821814469
2025-07-25 00:06:59,0.0,2.7755396075691308,69.48028287706776,73.69441048528863,0,进口浓度,1.8,连微,抽气式东星行测试,,35.828947575650574,58.14366649242448,1.0159499581513458,100.2,100.6,-0.4,0.0,0.0,12074.330411443025,
2025-07-25 00:09:13,0.0,-0.5878609345052519,83.42030183502571,63.855013320897854,0,进口浓度,1.8,连微,抽气式东星行测试,,32.54996612198784,58.78420988759846,1.423880773343885,100.2,100.6,-0.4,0.0,0.0,12151.029646464744,
2025-07-25 00:10:27,0.098166961604199,1.1063996286263402,0.0,54.11491308171059,1,出口浓度,1.8,连微,抽气式东星行测试,,34.55091436704262,60.603422326588,0.8790999295776681,100.2,100.6,-0.4,0.0,0.0,12659.284341989864,70.39329417173049
2025-07-25 00:12:07,0.0,0.863435521578765,79.2386717931066,63.95843655251636,0,进口浓度,1.8,连微,抽气式东星行测试,,34.88877088650288,58.21442861754355,1.0472424331657262,100.2,100.6,-0.4,0.0,0.0,12502.216032245437,
