出口voc,进口voc,风管内风速值,进口0出口1,创建时间,风量,风速段,浓度时间段,时间段序号,拼接时间段,穿透率,处理效率
2.5,1.0,10.4,0,1970-01-01 00:29:14.888381,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,6.0,10.54,0,1970-01-01 00:29:14.888411,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,1.6,10.24,0,1970-01-01 00:29:14.888421,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,2.3,10.32,0,1970-01-01 00:29:14.888431,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,2.3,10.2,0,1970-01-01 00:29:14.888441,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.4,10.29,0,1970-01-01 00:29:14.888451,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.6,10.52,0,1970-01-01 00:29:14.888462,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,9.3,10.42,0,1970-01-01 00:29:14.888472,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,5.3,10.26,0,1970-01-01 00:29:14.888482,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,7.3,10.42,0,1970-01-01 00:29:14.888492,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,4.2,10.41,0,1970-01-01 00:29:14.888502,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,8.9,10.52,0,1970-01-01 00:29:14.888512,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.6,10.41,0,1970-01-01 00:29:14.888523,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,1.2,10.42,0,1970-01-01 00:29:14.888532,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,2.9,10.4,0,1970-01-01 00:29:14.888542,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,8.9,10.07,0,1970-01-01 00:29:14.888552,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,8.4,10.55,0,1970-01-01 00:29:14.888563,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.8,10.45,0,1970-01-01 00:29:14.888573,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,8.6,10.46,0,1970-01-01 00:29:14.888583,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,10.8,10.26,0,1970-01-01 00:29:14.888593,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,9.1,10.37,0,1970-01-01 00:29:14.888603,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,4.9,10.44,0,1970-01-01 00:29:14.888613,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,6.2,10.16,0,1970-01-01 00:29:14.888624,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,7.1,10.31,0,1970-01-01 00:29:14.888634,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,7.1,10.51,0,1970-01-01 00:29:14.888644,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,9.1,10.84,0,1970-01-01 00:29:14.888654,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.4,10.14,0,1970-01-01 00:29:14.888664,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,3.8,10.48,0,1970-01-01 00:29:14.888674,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
2.5,4.2,10.18,0,1970-01-01 00:29:14.888684,1.0,1,1,1,1_2,0.4781444285031085,52.18555714968915
