模块,,,3号炉,4号炉,5号炉,6号炉
燃料计量模块,,垃圾月处理量,垃圾抓斗1（B列）和垃圾抓斗2（C列）求和,,,
炉膛燃烧模块,,炉膛温度月平均值（上部中部取平均后再取月平均）,AH、AI,AJ、AK,AL、AM,AN、AO
,,炉膛压力,AP,AQ,AR,AS
烟气净化模块,半干法脱酸,雾化石灰浆流量月平均值,FT,FZ,GE,GI
,,半干法反应塔温度月平均值,FU、FV、FW,GA、GB、GC,GF、GG、GH,GJ、GK、GL
,湿法脱酸,湿式洗涤塔氢氧化钠流量月平均值,GQ,GV,HA,HF
,,炉pH月平均值,GO、GP,GT、GU,GY、GZ,HD、HE
,,炉反应塔温度月平均值,GR、GS,GW、GX,HB、HC,HG、HH
,SNCR脱硝,炉还原剂流量月平均值,HI、HJ,HN、HO,HS、HT,HX、HY
,,炉膛出口温度月平均值,HK,HP,HU,HZ
,SCR脱硝,反应器进口温度月平均值,IE,,,IJ
,,反应器出口温度月平均值,IF,,,IK
,,氨逃逸量月平均值,IC,,,IH
,,还原剂流量月平均值,ID,,,II
,活性炭,每月活性炭平均流量,IM,IN,IO,IP
,布袋除尘,布袋进出口压差月平均值,IQ,IT,IW,IZ
,,布袋除尘器温度于月平均值,IR,IU,IX,IA
烟气排放模块,粉尘,粉尘排放浓度月平均值,JG,JP,JZ,KI
,SO2,SO2排放浓度月平均值,JH,JQ,KA,KJ
,NOx,NOx排放浓度月平均值,JI,JR,KB,KK
,CO,CO排放浓度月平均值,JJ,JS,KC,KL
,HCL,HCL排放浓度月平均值,JK,JT,KD,KM
