时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-08 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 00:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 00:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 01:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 01:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 02:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 02:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 03:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 03:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 03:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 03:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 03:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 03:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 03:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 04:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 04:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 04:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 04:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 04:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:44:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 05:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 05:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 06:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 06:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 06:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 06:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 07:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 07:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 07:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 07:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 07:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 08:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 08:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 08:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 08:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 08:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 09:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 09:58:00,3,预警,焚烧炉出口氧含量偏高,预警
