数据文件,总事件数,预警数,报警数,状态,错误信息
11垃圾焚烧报警规则（宁波世贸）.csv,-1,-1,-1,失败,"""None of ['数据时间'] are in the columns"""
11垃圾焚烧预警规则（宁波世贸）.csv,-1,-1,-1,失败,"""None of ['数据时间'] are in the columns"""
20250101.csv,136,136,0,成功,
20250101.xlsx,136,136,0,成功,
20250102.xlsx,180,180,0,成功,
20250103.xlsx,159,159,0,成功,
20250104.xlsx,727,439,288,成功,
20250105.xlsx,634,390,244,成功,
20250106.xlsx,112,111,1,成功,
20250107.xlsx,180,180,0,成功,
20250108.xlsx,289,289,0,成功,
20250109.xlsx,223,223,0,成功,
20250110.xlsx,182,182,0,成功,
20250111.xlsx,97,97,0,成功,
20250112.xlsx,100,100,0,成功,
20250113.xlsx,104,104,0,成功,
20250114.xlsx,314,222,92,成功,
20250115.xlsx,733,445,288,成功,
20250116.xlsx,543,318,225,成功,
20250117.xlsx,638,350,288,成功,
20250118.xlsx,676,388,288,成功,
20250119.xlsx,675,387,288,成功,
20250120.xlsx,679,420,259,成功,
20250121.xlsx,771,490,281,成功,
20250122.xlsx,781,493,288,成功,
20250123.xlsx,820,532,288,成功,
20250124.xlsx,709,421,288,成功,
20250125.xlsx,662,393,269,成功,
20250126.xlsx,916,512,404,成功,
20250127.xlsx,1268,692,576,成功,
20250128.xlsx,1253,687,566,成功,
20250129.xlsx,1282,706,576,成功,
20250130.xlsx,1252,676,576,成功,
20250131.xlsx,1255,679,576,成功,
0201.xlsx,1254,678,576,成功,
0202.xlsx,1237,691,546,成功,
0203.xlsx,-1,-1,-1,失败,"only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices"
0204.xlsx,1253,710,543,成功,
0205.xlsx,1308,732,576,成功,
0206.xlsx,1228,677,551,成功,
0207.xlsx,1256,683,573,成功,
0208.xlsx,813,468,345,成功,
0209.xlsx,681,393,288,成功,
0210.xlsx,674,386,288,成功,
0211.xlsx,712,422,290,成功,
0212.xlsx,707,419,288,成功,
0213.xlsx,675,383,292,成功,
0214.xlsx,645,357,288,成功,
0215.xlsx,653,365,288,成功,
0216.xlsx,684,396,288,成功,
0217.xlsx,615,351,264,成功,
0218.xlsx,673,385,288,成功,
0219.xlsx,665,377,288,成功,
0220.xlsx,635,366,269,成功,
0221.xlsx,688,400,288,成功,
0222.xlsx,618,351,267,成功,
0223.xlsx,664,376,288,成功,
0224.xlsx,666,378,288,成功,
0225.xlsx,645,357,288,成功,
0226.xlsx,654,366,288,成功,
0227.xlsx,662,374,288,成功,
0228.xlsx,-1,-1,-1,失败,"only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices"
0301.xlsx,122,122,0,成功,
0302.xlsx,217,217,0,成功,
0303.xlsx,144,144,0,成功,
0304.xlsx,122,122,0,成功,
0305.xlsx,205,176,29,成功,
0306.xlsx,612,358,254,成功,
0307.xlsx,669,398,271,成功,
0308.xlsx,739,451,288,成功,
0309.xlsx,700,404,296,成功,
0310.xlsx,671,373,298,成功,
0311.xlsx,702,414,288,成功,
0312.xlsx,642,353,289,成功,
0313.xlsx,571,306,265,成功,
0314.xlsx,609,330,279,成功,
0315.xlsx,625,337,288,成功,
0316.xlsx,509,268,241,成功,
0317.xlsx,285,204,81,成功,
0318.xlsx,161,160,1,成功,
0319.xlsx,178,177,1,成功,
0320.xlsx,153,153,0,成功,
0321.xlsx,115,105,10,成功,
0322.xlsx,95,91,4,成功,
0323.xlsx,-1,-1,-1,失败,"only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices"
0324.xlsx,73,73,0,成功,
0325.xlsx,67,67,0,成功,
0326.xlsx,81,81,0,成功,
0327.xlsx,35,35,0,成功,
0328.xlsx,60,60,0,成功,
0329.xlsx,61,61,0,成功,
0330.xlsx,41,41,0,成功,
0331.xlsx,66,66,0,成功,
0401.xlsx,78,78,0,成功,
0402.xlsx,70,70,0,成功,
0403.xlsx,106,106,0,成功,
0404.xlsx,41,41,0,成功,
0405.xlsx,42,42,0,成功,
0406.xlsx,22,22,0,成功,
0407.xlsx,36,36,0,成功,
0408.xlsx,55,55,0,成功,
0409.xlsx,56,56,0,成功,
0410.xlsx,62,57,5,成功,
0411.xlsx,-1,-1,-1,失败,"only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices"
0412.xlsx,648,360,288,成功,
0413.xlsx,645,357,288,成功,
0414.xlsx,609,321,288,成功,
0415.xlsx,480,257,223,成功,
0416.xlsx,645,357,288,成功,
0417.xlsx,650,362,288,成功,
0418.xlsx,677,389,288,成功,
0419.xlsx,641,360,281,成功,
0420.xlsx,621,333,288,成功,
0421.xlsx,631,360,271,成功,
0422.xlsx,650,362,288,成功,
0423.xlsx,234,180,54,成功,
0424.xlsx,113,112,1,成功,
0425.xlsx,124,123,1,成功,
0426.xlsx,358,265,93,成功,
0427.xlsx,685,379,306,成功,
0428.xlsx,610,334,276,成功,
0429.xlsx,668,379,289,成功,
0430.xlsx,694,399,295,成功,
0501.xlsx,700,407,293,成功,
0502.xlsx,728,440,288,成功,
0503.xlsx,708,420,288,成功,
0504.xlsx,746,458,288,成功,
0505.xlsx,637,375,262,成功,
0506.xlsx,710,422,288,成功,
0507.xlsx,-1,-1,-1,失败,"only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices"
0508.xlsx,725,437,288,成功,
0509.xlsx,713,425,288,成功,
0510.xlsx,759,471,288,成功,
0511.xlsx,753,465,288,成功,
0512.xlsx,782,494,288,成功,
0513.xlsx,728,440,288,成功,
0514.xlsx,733,428,305,成功,
0515.xlsx,765,453,312,成功,
0516.xlsx,482,287,195,成功,
0517.xlsx,604,316,288,成功,
0518.xlsx,604,316,288,成功,
0519.xlsx,604,316,288,成功,
0520.xlsx,604,316,288,成功,
0521.xlsx,626,338,288,成功,
0522.xlsx,682,394,288,成功,
0523.xlsx,650,377,273,成功,
0524.xlsx,658,370,288,成功,
0525.xlsx,686,398,288,成功,
0526.xlsx,665,384,281,成功,
0527.xlsx,806,468,338,成功,
0528.xlsx,1283,715,568,成功,
0529.xlsx,1165,654,511,成功,
0530.xlsx,723,435,288,成功,
0531-1.xlsx,535,328,207,成功,
0531-2.xlsx,196,115,81,成功,
0601.xlsx,611,352,259,成功,
0602.xlsx,649,365,284,成功,
0603.xlsx,700,412,288,成功,
0604.xlsx,689,401,288,成功,
0605.xlsx,693,405,288,成功,
0606.xlsx,701,413,288,成功,
0607.xlsx,660,372,288,成功,
0608.xlsx,671,383,288,成功,
0609.xlsx,603,351,252,成功,
0610.xlsx,646,367,279,成功,
0611.xlsx,632,362,270,成功,
0612.xlsx,685,397,288,成功,
0613.xlsx,719,431,288,成功,
0614.xlsx,684,396,288,成功,
0615.xlsx,633,345,288,成功,
0616.xlsx,645,357,288,成功,
0617.xlsx,0,0,0,成功（无事件）,
0618.xlsx,659,371,288,成功,
0619.xlsx,649,368,281,成功,
0620.xlsx,655,367,288,成功,
0621.xlsx,404,277,127,成功,
0622.xlsx,209,209,0,成功,
0623.xlsx,174,174,0,成功,
0624.xlsx,186,186,0,成功,
0625.xlsx,274,274,0,成功,
0626.xlsx,309,309,0,成功,
0627.xlsx,280,280,0,成功,
0628.xlsx,249,249,0,成功,
0629.xlsx,296,296,0,成功,
0630.xlsx,250,250,0,成功,
点位表_宁波世贸能源股份有限公司_20241222.csv,-1,-1,-1,失败,"""None of ['数据时间'] are in the columns"""
